"Search Parameters"	"More Info"	"Doubtful Runup"	"Country"	"Area"	"Location Name"	"Latitude"	"Longitude"	"Distance From Source (km)"	"Initial Wave Arrival Dy"	"Initial Wave Arrival Hr"	"Initial Wave Arrival Min"	"Travel Hours"	"Travel Minutes"	"Max Wave Arrival Day"	"Max Wave Arrival Hr"	"Max Wave Arrival Min"	"Max Water Height (m)"	"Max Inundation Distance (m)"	"Measurement Type"	"Period"	"First Motion"	"Deaths"	"Death Description"	"Missing"	"Missing Description"	"Injuries"	"Injuries Description"	"Damage $Mil"	"Damage Description"	"Houses Destroyed"	"Houses Destroyed Description"	"Houses Damaged"	"Houses Damaged Description"
		"n"	"SRI LANKA"		"KALLADY"	7.724	81.714	1640.471									6		4														
		"n"	"MALDIVES"		"MALE"	4.18	73.52	2482.675	26	4	14	3	15				1.08		2		"R"												
		"n"	"INDIA"	"TAMIL NADU"	"MARITIME BOARD PO, CUDDALORE"	11.70777778	79.775	2001.116									2.76	250	5														
		"n"	"BANGLADESH"		"ST. MARTIN'S ISLAND"	20.63	92.32	1953.406				2	12				0.31		2														
		"n"	"IRAN"		"POZM (24)"	25.35823	60.3135	4516.574									3.04		5														
		"n"	"IRAN"		"TANG"	25.3572	59.89457	4554.213									1.69	229	5										1				
		"n"	"INDIA"	"KERALA"	"THANGASSERI (QUILON)"	8.88277778	76.56888889	2220.788									3		4														
		"n"	"SEYCHELLES"		"ANSE VOLBERT, PRASLIN ISLAND"	-4.31433333	55.7442	4540.599									2	100	5														
		"n"	"SEYCHELLES"		"ANSE AUX PINS, MAHE ISLAND"	-4.70361667	55.52171667	4572.565									1.9	50	5														
		"n"	"SEYCHELLES"		"BEAU VALLON, MAHE ISLAND"	-4.60856667	55.43161667	4580.504									1.7	10	5														
		"n"	"AUSTRALIA"		"MOURILYAN"	-17.583333	146.083333	5977.869						27	12	10	0.05		2														
		"n"	"MALAYSIA"		"TANJUNG TOKONG (2C)"	5.46166667	100.3083333	548.369									2.61	18.3	5														
		"n"	"MALAYSIA"		"PANTAI KOK (MUTIARA BEACH RESORT)"	6.35	99.66666667	539.803									2.25	50.84	5														
		"n"	"MALAYSIA"		"PANTAI KOK (BERJAYA HOTEL)"	6.35	99.66666667	539.803									2.98	34.88	5														
		"n"	"INDIA"	"MAHARASHTRA"	"GEETANAGAR"	18.9145	72.8084	3044.495									3.1		5														
		"n"	"AUSTRALIA"		"FREMANTLE"	-32.055833	115.73944	4443.629	26	7	35	6	36	26	22	15	0.46		2														
		"n"	"URUGUAY"		"LA PALOMA"	-34.65	-54.15	15364.149	26	23	45	22	46	27	23	30	0.4		2														
		"n"	"INDONESIA"	"ACEH"	"WEST COAST OF ACEH, SUMATRA"	5.453	95.245	245.788									18.46		5														
		"n"	"USA"	"NJ"	"ATLANTIC CITY, NJ"	39.35	-74.417	15176.891	27	8	47	31	48				0.11		2														
		"n"	"USA"	"CA"	"SAN DIEGO, CA"	32.715	-117.174	14723.242	27	8	24	31	25				0.16		2														
		"n"	"NEW ZEALAND"		"WHITIANGA"	-36.833	-175.709	10092.744									0.25		2														
